name,phone,buy,sell
АКБ Трансстройбанк ДО ТЦ Таганка,+7 495 786-37-73 доб. 677,103.90,102.30
КБ ЮНИСТРИМ ДО № 244,+7 925 006-85-40,103.50,100.00
КБ ЮНИСТРИМ ОО № 253,+7 926 610-23-18,105.00,99.00
КБ ЮНИСТРИМ ОО № 188,+7 926 610-23-18,105.00,99.00
Камкомбанк Новоясеневский проспект,+7 958 285-60-02,102.90,101.70
Камкомбанк ул. Балтийская,+7 958 285-60-02,102.90,101.70
АКБ Трансстройбанк ДО Мини-офис Тверская,+7 495 786-37-73,103.90,102.30
БАНК МОСКВА-СИТИ ДО ПОКРОВКА,+7 495 981-84-30,103.00,102.00
КБ ЮНИСТРИМ ОО № 228,+7 926 237-14-26,104.90,100.00
"Камкомбанк ДО г. Москва, улица Героев Панфиловцев, дом 1/2",+7 958 285-60-02,102.90,101.70
АКБ Трансстройбанк ДО Мини-офис Проспект Мира,+7 495 786-37-74 доб. 546,103.90,102.20
Сбербанк ДО №9038/1118,+7 800 555-55-50,104.60,94.10
Камкомбанк ул. Тверская,+7 958 285-60-02,102.90,101.70
Камкомбанк Проспект Вернадского,+7 958 285-60-02,102.90,101.70
Камкомбанк ул. Бутырская,+7 958 285-60-02,102.90,101.70
Камкомбанк ул. Люблинская,+7 958 285-60-02,102.90,101.70
Камкомбанк Свободный проспект,+7 958 285-60-02,102.90,101.70
Камкомбанк Каширское шоссе,+7 958 285-60-02,102.90,101.70
Камкомбанк Дмитровское шоссе,+7 958 285-60-02,102.90,101.70
АКБ Трансстройбанк ДО Новопеределкино ТЦ М30,+7 495 786-37-73,103.50,102.20
АКБ Трансстройбанк ДО Мини-офис Менделеевская,+7 495 786-37-73,103.90,102.20
АКБ Трансстройбанк ДО Мини-офис Новокузнецкая,+7 495 786-37-73,103.90,102.20
Сбербанк ДО № 9038/01755,+7 800 555-55-50,104.60,96.90
АКБ Трансстройбанк ДО Таганская,+7 495 786-37-73,103.90,102.30
Камкомбанк ул. Ярцевская,+7 958 285-60-02,102.90,101.70
Камкомбанк ул. Бакунинская,+7 958 285-60-02,102.65,101.70
"Камкомбанк ул. Люсиновская, д. 29",+7 958 285-60-02,102.90,101.70
Камкомбанк Площадь Победы,+7 985 285-60-02,102.90,101.70
"Камкомбанк, ул. Первомайская, д.5",+7 958 285-60-02,102.90,101.70
КБ ЮНИСТРИМ ДО № 236,+7 925 789-61-36,105.00,100.00
"Камкомбанк ДО ул. Менжинского, д. 21, помещ. 9/1",+7 958 285-60-02,102.90,101.70
Сбербанк ДО № 9038/01106,+7 800 555-55-50,105.30,96.90
"Камкомбанк ДО пер. Грузинский, 16",+7 958 285-60-02,102.90,101.70
КБ ЮНИСТРИМ ОО № 126,+7 926 610-23-18,105.00,99.00
КБ ЮНИСТРИМ ОО № 203,+7 926 090-18-25,105.00,100.00
КБ ЮНИСТРИМ ДО № 241,+7 926 331-08-57,105.00,100.00
Сбербанк ДО №9038/849,+7 800 555-55-50,104.60,94.10
БАНК КРЕМЛЕВСКИЙ ДО Националь,+7 906 060-54-34,104.00,93.00
КБ ЮНИСТРИМ ОО №26,+7 925 006-85-40,104.30,99.00
КБ ЮНИСТРИМ ОО № 63,+7 925 006-85-40,104.30,99.00
БАНК КРЕМЛЕВСКИЙ ДО Тверской,+7 968 811-39-57,104.00,93.00
КБ ЮНИСТРИМ ОО № 185,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 182,+7 926 331-08-57,105.00,100.00
КБ ЮНИСТРИМ ОО № 153,+7 925 789-61-36,105.00,100.00
КБ ЭНЕРГОТРАНСБАНК ДО Каширский,+7 800 100-22-48,104.60,100.10
КБ ЮНИСТРИМ ОО № 215,+7 925 006-85-40,104.30,99.00
КБ ЮНИСТРИМ ОО № 11,+7 926 090-18-25,105.00,100.00
КБ ЮНИСТРИМ ОО № 196,+7 926 610-23-18,105.00,99.00
КБ ЮНИСТРИМ ОO № 61,+7 926 610-23-18,105.00,99.00
АКБ Трансстройбанк ДО Мини-офис Медведково,+7 495 786-37-73,103.90,102.10
АКБ Трансстройбанк ДО Марьино,+7 495 786-37-73,103.90,102.10
КБ ЮНИСТРИМ ДО № 238,+7 926 090-18-25,105.00,100.00
Банк РМП,+7 495 737-86-43 доб. 5728,106.50,100.50
СДМ-Банк,+7 495 705-90-90,103.50,101.50
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК Отделение Нева Тауэрс,+7 495 777-48-88,105.50,99.50
Банк Санкт-Петербург ДО Дельта,+7 495 228-33-95,105.70,102.50
КБ ИС Банк ДО На Никольской,+7 495 641-40-70 доб. 1321,105.00,99.00
НОРВИК БАНК ДО Маяковский,+7 800 100-17-77,102.95,102.05
НОРВИК БАНК ДО Зацепский,+7 495 633-23-23,102.95,102.05
Альтернатива ДО Марксистская,+7 965 183-20-44,105.00,103.00
КБ Солидарность ДО Бизнес Центр Ханой-Москва,+7 495 663-35-77 доб. 5203,104.50,99.90
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК Отделение Луков переулок,+7 495 777-48-88,105.50,99.50
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК Бизнес-центр Цветной бульвар,+7 495 777-48-88,105.50,99.50
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК Отделение МОСКОВСКИЙ КРЕДИТНЫЙ БАНК,+7 495 777-48-88,105.50,99.50
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК Отделение ВДНХ,+7 495 777-48-88,105.50,99.50
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК Отделение Бауманское,+7 495 777-48-88,105.50,99.50
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК Отделение Южнобутовское,+7 495 777-48-88,105.50,99.50
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК Отделение Раменское,+7 495 777-48-88,105.50,99.50
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК Отделение Пушкинское,+7 495 777-48-88,105.50,99.50
МОСКОВСКИЙ КРЕДИТНЫЙ БАНК Отделение Тимирязевское,+7 495 777-48-88,105.50,99.50
ФИНСТАР БАНК ДО Пресненский,+7 499 922-88-30,104.30,98.30
КБ Солидарность ДО Союз,+7 495 663-35-77 доб. 5386,104.50,99.90
